 Teff  logg FeH   profile        filter     wave_min wave_eff wave_max   c1     e1    c2    e2    c3     e3    c4     e4 
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.71   0.7173    0.725  0.054 0.044 1.048 0.104 -0.569 0.105  0.107 0.038
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.726   0.7334    0.741  0.083  0.04 0.975 0.094  -0.51 0.094  0.086 0.034
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.742   0.7495    0.757  0.082 0.039 0.978 0.093 -0.535 0.094  0.099 0.034
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.758   0.7656    0.773  0.088 0.055 0.964  0.13 -0.538 0.132  0.103 0.048
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.774   0.7817    0.789  0.111 0.049 0.911 0.115   -0.5 0.116  0.091 0.042
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.79   0.7974    0.805  0.105 0.048 0.905 0.114 -0.493 0.115  0.088 0.042
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.806   0.8135    0.821  0.142  0.04 0.805 0.094 -0.399 0.094  0.054 0.034
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.822   0.8296    0.837  0.135 0.035 0.822 0.082  -0.43 0.083  0.066  0.03
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.838   0.8457    0.853  0.154 0.039 0.779 0.092 -0.403 0.092  0.058 0.034
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.854   0.8613    0.869  0.148 0.035 0.799 0.083 -0.441 0.084  0.075 0.031
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K     0.87   0.8774    0.885  0.161 0.044 0.764 0.104 -0.418 0.105   0.07 0.038
5500.0  4.5 0.0 4-parameter Kepler/Kepler.K    0.886   0.8936    0.901  0.162 0.045 0.781 0.106 -0.462 0.107  0.088 0.039
